Кузов;Модель;VIN;Цвет кузова;Год;РРЦ
F30ЛС;BMW 320i SE;X4X8A394405J91869;Черный Сапфир металлик;2 018;2 295 000,00  
F30ЛС;BMW 320i xDrive M Sport;X4X8A594405K82507;Красный Мельбурн металлик;2 018;2 295 235,62  
F30ЛС;BMW 320i xDrive M Sport;X4X8A594305K82627;Красный Мельбурн металлик;2 018;2 590 800,00  
F30ЛС;BMW 320i xDrive M Sport ;X4X8A594X05K82186;Черный Сапфир металлик;2 018;2 725 848,00  
F30ЛС;BMW 320d xDrive Sport Line ;X4X8C99490AG37702;Белый минерал металлик;2 018;2 664 406,78  
F32;BMW 420d xDrive Coupe;WBA4X51030AK96972;Белоснежный;2 018;3 215 200,00  
F32;BMW 430i xDrive Купе M Sport;WBA4W11080AE42720;Голубой Танзанит металлик;2 018;3 264 000,00  
G30ЛС;BMW 520i Business;X4XJA19440WC06535;Серый Гранит металлик;2 018;3 019 200,00  
G30ЛС;BMW 520d xDrive M Sport;X4XJC59400WB54418;Черный Сапфир металлик;2 018;3 519 000,00  
G30ЛС;BMW 520d xDrive M Sport;X4XJC59490WB54739;Серый Софисто с бриллиантовым;2 018;3 519 000,00  
G30;BMW 520d xDrive M Sport Pro;WBAJC51070G862661;Серый Софисто с бриллиантовым;2 018;3 590 399,99  
G30ЛС;BMW 520d Sport Line;X4XJC39400WB52057;Белый минерал металлик;2 018;3 233 400,00  
G30ЛС;BMW 520d xDrive Exclusive;X4XJC594X0WB54409;Ятоба;2 018;3 660 000,01  
G30ЛС;BMW 520d xDrive Business;X4XJC59400WB54791;Серый Гранит металлик;2 018;3 223 200,00  
G30ЛС;BMW 520d xDrive M Sport;X4XJC594X0WB54751;Черный Карбон ;2 018;3 510 000,00  
G30;BMW 520d xDrive Sedan M Sport Pro;WBAJC51090G862693;Черный Карбон ;2 018;3 590 000,00  
G30ЛС;BMW 530i xDrive Luxury;X4XJR79430WE76187;Серый Софисто с бриллиантовым;2 018;4 069 800,00  
G30ЛС;BMW 530i xDrive M Sport;X4XJR79450WE76224;Черный Сапфир металлик;2 018;3 845 400,00  
G30ЛС;BMW 530i xDrive M Sport;X4XJR79460WE76393;Средиземноморский Синий;2 018;3 840 000,00  
G30ЛС;BMW 530i xDrive M Sport;X4XJR79480WE76038;Черный Сапфир металлик;2 018;3 794 400,00  
G30ЛС;BMW 530d xDrive M Sport;X4XJD19460WE85090;Черный Сапфир металлик ;2 018;4 426 800,00  
G30ЛС;BMW 530d xDrive M Sport;X4XJD19490WE85679;Серый Гранит металлик;2 018;4 420 000,00  
G32;BMW 630d xDrive Gran Turismo;WBAJW81090BK94290;Красный Роял Бургунди с брилли;2 018;5 411 610,00  
G32;BMW 630d xDrive Gran Turismo M Sport;WBAJW81030BK94687;Красный Роял Бургунди с брилли;2 018;5 161 200,00  
G32;BMW 630d xDrive Gran Turismo;WBAJW81040BK94214;Черный Сапфир металлик ;2 018;5 411 712,00  
G32;BMW 630d xDrive Gran Turismo M Sport;WBAJW81080BK94684;Белый Минерал металлик ;2 018;5 213 899,99  
G32;BMW 630d xDrive Gran Turismo M Sport;WBAJW810X0BK94783;Черный Карбон;2 018;5 294 700,00  
G11;BMW 730i Sedan M Sport Edition;WBA7A01040B299441;Черный Сапфир металлик;2 018;5 242 800,00  
G11;BMW 730i M Sport;WBA7A01000B299033;Черный Карбон;2 018;5 089 800,00  
G11;BMW 730i M Sport;WBA7A01030B299267;Черный Сапфир металлик;2 018;5 089 800,00  
G11;BMW 730i Sedan M Sport;WBA7A01040B299472;Черный Сапфир металлик;2 018;5 227 118,64  
G11;BMW 730d xDrive Sedan M Sport Edition;WBA7C41070BR92070;Черный Сапфир металлик ;2 018;6 447 457,63  
G15;BMW 840d xDrive;WBABC21060BH87342;Серый Дравит металлик;2 018;7 582 272,00  
F48;BMW X1 xDrive18d Sport Line;WBAHT910905J16813;Серебристый Ледник;2 018;2 705 040,00  
F48ЛС;BMW X1 xDrive18d Sport Line;X4XHT994X0EC46678;Белый минерал металлик;2 018;2 700 000,00  
F48ЛС;BMW X1 xDrive18d Sport Line;X4XHT99420EC46710;Серый Атлантик;2 018;2 700 000,00  
F48;BMW X1 xDrive18d Advantage SE;WBAHT910105J17471;Средиземноморский Синий;2 018;2 749 999,99  
F48ЛС;BMW X1 xDrive18d Advantage;X4XHT99470EC46573;Черный Сапфир металлик;2 018;2 600 000,00  
F48ЛС;BMW X1 xDrive18d Advantage;X4XHT99430EC46554;Серый Атлантик;2 018;2 600 000,00  
F48ЛС;BMW X1 xDrive18d Sport Line;X4XHT994X0EC46535;Оранжевый Закат ;2 018;2 700 000,00  
F48;BMW X1 xDrive20i M Sport;WBAJG51030ER19616;Черный Сапфир металлик ;2 018;2 804 999,99  
F39;BMW X2 xDrive20d M Sport X Launch HEA ;WBAYN31080EB19664;Золотой Гальваник;2 017;3 518 592,01  
G01ЛС;BMW X3 xDrive20d M Sport;X4XKJ39430LB10719;Синий Фитоник ;2 019;3 550 000,00  
G01ЛС;BMW X3 xDrive30i M Sport ;X4XKJ99470LD53386;Белоснежный;2 018;3 763 800,00  
G01ЛС;BMW X3 xDrive30i M Sport ;X4XKJ994X0LD53592;Черный Карбон;2 018;3 860 000,00  
G01ЛС;BMW X3 xDrive30d Luxury;X4XKJ79410LD54439;Черный Сапфир металлик;2 018;3 988 200,00  
G02ЛС;BMW X4 xDrive30d M Sport;X4XVJ59490LF37959;Белоснежный;2 018;4 370 000,00  
G02ЛС;BMW X4 xDrive30d M Sport;X4XVJ59450LF37988;Черный Сапфир металлик;2 018;4 370 000,00  
G05;BMW X5 M50d M Specia;WBACV01000LK57345;Черный Сапфир металлик ;2 019;7 751 200,01  
F16ЛС;BMW X6 xDrive30d M Sport ;X4XKV294700Z95357;Белый минерал металлик ;2 018;5 752 800,00  
F16ЛС;BMW X6 xDrive30d M Sport ;X4XKV29410LG87361;Голубой Long Beach;2 018;5 890 000,00  
F16ЛС;BMW X6 xDrive30d Business;X4XKV29440LG87578;Белый минерал металлик;2 019;4 860 000,00  
F16ЛС;BMW X6 xDrive40d M Sport;X4XKV49430LB33508;Серый Космос металлик ;2 018;6 220 000,00  
F16ЛС;BMW X6 xDrive40d M Sport ;X4XKV49460LB33390;Белый минерал металлик ;2 018;6 220 000,00  
F90;BMW M5;WBSJF01010G966679;Синий Марина Бэй металлик ;2 018;8 265 977,99  
G01;BMW X3 xDrive30d  Luxury;WBATX71010LG17986;Черный Сапфир металлик ;2 019;4 150 000,00  
G30;BMW 520d xDrive  Business SE;WBAJC51020G862843;Черный Сапфир металлик ;2 019;3 220 000,00  
F20;BMW 118i 5-doors;WBA1R510307D38988;Средиземноморский Синий;2 019;1 999 699,99  
F34;BMW 320i xDrive Gran Turismo;WBA8X51000B237454;Черный Сапфир металлик;2 019;3 157 000,00  
F34;BMW 320d xDrive Gran Turismo;WBA8T51040B455974;Белый минерал металлик;2 019;3 178 200,00  
G30;BMW 530i xDrive M Sport Pro;WBAJR71070WW24356;Серый Софисто с бриллиантовым;2 019;4 088 700,00  
G30;BMW 530i xDrive M Sport Pro;WBAJR71010BJ17430;Белоснежный;2 019;3 982 300,01  
G30;BMW 530d xDrive M Sport SE;WBAJD11000B199677;Серый Софисто с бриллиантовым;2 019;4 420 000,00  
G30;BMW 530d xDrive M Sport SE ;WBAJD11000B199680;Черный Сапфир металлик ;2 019;4 420 000,00  
F48ЛС;BMW X1 xDrive18d Advantage;X4XHT99450EC46801;Серый минерал;2 019;2 600 000,00  
F48ЛС;BMW X1 xDrive20i M Sport;X4XJG59470EK30725;Синий Эшторил;2 019;2 800 000,00  
G01ЛС;BMW X3 xDrive20d xLine;X4XKJ39480LB10960;Белый минерал металлик;2 019;3 680 000,00  
G01;BMW X3 xDrive20d M Sport SE;WBATX31000LF54128;Синий Фитоник;2 019;3 550 000,00  
G01;BMW X3 xDrive20d M Sport SE;WBATX31070LF54207;Черный Сапфир металлик;2 019;3 550 000,00  
G01;BMW X3 xDrive30d Luxury;WBATX71010LG19074;Синий Фитоник;2 019;4 150 000,00  
G02ЛС;BMW X4 xDrive20d M Sport;X4XVJ19480LF44944;Белоснежный;2 019;3 870 000,00  
G02ЛС;BMW X4 xDrive20d xLine;X4XVJ19450LF44934;Синий Фитоник;2 019;3 780 000,00  
F16;BMW X6 xDrive30d M Sport;WBAKV210900Z84699;Голубой Long Beach;2 019;5 890 000,00  
F16;BMW X6 xDrive30d M Sport;WBAKV210700Z84748;Черный Карбон;2 019;5 890 000,00  
F16;BMW X6 xDrive30d M Sport;WBAKV210500Z84747;Черный Карбон;2 019;5 890 000,00  
F16;BMW X6 xDrive30d M Sport Pure;WBAKV210400Z84772;Серый Космос металлик ;2 019;5 280 000,00  
F16ЛС;BMW X6 xDrive40d M Sport Extravagance;X4XKV49440LB33422;Черный Карбон;2 019;6 420 000,00  
F16;BMW X6 xDrive40d M Sport;WBAKV410300Z75069;Черный Сапфир металлик ;2 019;7 355 800,00  
F34;BMW 320i xDrive Gran Turismo;WBA8X51000B237227;Красный Мельбурн металлик;2 018;3 392 000,00  
F34;BMW 320i xDrive Gran Turismo;WBA8X51020B237410;Серый минерал;2 018;3 072 700,01  
F32;BMW 420d xDrive Купе M Sport;WBA4X51060A770171;Белоснежный ;2 018;3 693 000,00  
G32;BMW 640i xDrive Gran Turismo M Sport  ;WBAJV61080BL17162;Белый Минерал металлик ;2 018;6 042 099,98  
G32;BMW 640d xDrive Gran Turismo M Sport;WBAJW01080BP40883;Серый Гранит металлик;2 018;6 061 300,01  
G12;BMW 730Ld xDrive Limousine;WBA7G610X0B244624;Черный Сапфир металлик;2 018;8 990 100,01  
G12;BMW 730Ld xDrive Sedan;WBA7G61070B244662;Серый Сингапур;2 018;9 262 500,00  
F48ЛС;BMW X1 xDrive18d Advantage;X4XHT99490EC46736;Черный Сапфир металлик;2 018;2 600 000,00  
F16;BMW X6 xDrive40d M Sport;WBAKV410800Z75052;Белый минерал металлик;2 019;7 355 800,00  
G20;BMW 320d M Sport Plus Launch;WBA5V51020AJ52520;Белый минерал металлик ;2 019;3 094 299,99  
G20;BMW 320d M Sport Plus Launch;WBA5V51080AJ53848;Синий Портимау;2 019;3 182 700,00  
G20;BMW 320d M Sport Pure Launch;WBA5V51060AJ52519;Черный Сапфир металлик;2 019;2 974 300,00  
G20;BMW 320d xDrive M Sport Pure Launch;WBA5V71040AH88953;Синий Портимау;2 019;3 114 300,00  
G20;BMW 320d xDrive M Sport Pro;WBA5V710X0AE83571;Синий Портимау;2 019;3 450 500,00  
G20;BMW 320d xDrive M Sport Pure Launch;WBA5V71050AH93434;Синий Портимау;2 019;3 059 600,00  
G20;BMW 320d xDrive M Sport Pro;WBA5V71040AH93098;Серый минерал;2 019;3 330 000,00  
G20;BMW 320d M Sport Pure Launch ;WBA5V51080AJ55132;Черный Сапфир металлик;2 019;2 877 000,00  
G20;BMW 320d M Sport Pure Launch;WBA5V51010AJ55084;Белоснежный;2 019;2 997 899,99  
G20;BMW 320d xDrive M Sport Plus Launch;WBA5V71060AH93622;Серый Дравит металлик;2 019;3 418 900,00  
G20;BMW 320d xDrive M Sport Pro;WBA5V71030AH93626;Синий Портимау;2 019;3 491 800,01  
G20;BMW 320d M Sport Pro;WBA5V510X0AJ55276;Серый Дравит металлик;2 019;3 352 600,00  
G15;BMW 840d xDrive Coup?;WBABC21030BT80429;Белый минерал металлик;2 019;8 384 699,99  
